date,values
2010-05-01,155.765225229083
2010-06-01,150.35949119157
2010-07-01,109.916592096101
2010-08-01,151.160340678609
2010-09-01,247.862916238567
2010-10-01,291.309000910432
2010-11-01,335.555935069336
2010-12-01,297.715796806744
2011-01-01,258.674384313593
2011-02-01,188.600054197682
2011-03-01,160.770534523077
2011-04-01,117.124237479452
2011-05-01,122.129546773446
2011-06-01,140.148660231823
2011-07-01,137.145474655427
2011-08-01,124.732307606322
2011-09-01,171.782214969863
2011-10-01,249.064190469125
2011-11-01,270.687126619178
2011-12-01,268.284578158061
2012-01-01,279.696683348366
2012-02-01,245.26015540569
2012-03-01,215.028087269968
2012-04-01,211.624476950052
2012-05-01,201.613858362065
2012-06-01,194.806637722234
2012-07-01,193.204938748156
2012-08-01,164.574569586512
2012-09-01,277.294134887249
2012-10-01,362.985030000421
2012-11-01,436.663182808008
2012-12-01,374.196922818967
2013-01-01,378.801807369441
2013-02-01,302.721106100737
2013-03-01,389.813487816227
2013-04-01,312.331299945205
2013-05-01,275.492223541412
2013-06-01,469.097587033087
2013-07-01,201.213433618546
2013-08-01,212.024901693572
2013-09-01,399.023256917175
2013-10-01,436.663182808008
2013-11-01,590.626496691253
2013-12-01,532.965333624446
2014-01-01,582.618001820863
2014-02-01,505.336026321601
2014-03-01,598.634991561643
2014-04-01,567.001436823603
2014-05-01,575.009931693993
2014-06-01,395.4194342255
2014-07-01,457.885694214541
2014-08-01,600.236690535721
2014-09-01,820.870724214962
2014-10-01,1635.93528964889
2014-11-01,1464.75371179431
2014-12-01,1369.25241046491
2015-01-01,1546.64057184404
2015-02-01,1426.31293641644
2015-03-01,1894.60967396248
2015-04-01,1326.40696290832
2015-05-01,1230.10481209188
2015-06-01,954.011951435194
2015-07-01,792.240355053318
2015-08-01,1124.99331691802
2015-09-01,2465.41514584952
2015-10-01,3345.94915684889
2015-11-01,3299.90031134415
2015-12-01,4115.56551389336
2016-01-01,4768.45805820189
2016-02-01,4263.12203188029
2016-03-01,5376.10260649272
2016-04-01,5799.75198513635
2016-05-01,4572.65035862086
2016-06-01,3524.13816771506
2016-07-01,2067.99358790643
2016-08-01,2686.44960427228
2016-09-01,3606.42545250832
